MJD;Year;Month;Day;Type;X;sigma_X;Y;sigma_Y;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
37665;1962;01;01;;-0.012700;0.030000;0.213000;0.030000;;0.0326338;0.0020000;0.0017230;0.0014000;;0.064261;0.012000;0.006067;0.002000;;;;
37666;1962;01;02;;-0.015900;0.030000;0.214100;0.030000;;0.0320547;0.0020000;0.0016690;0.0014000;;0.063979;0.012000;0.006290;0.002000;;;;
37667;1962;01;03;;-0.019000;0.030000;0.215200;0.030000;;0.0315526;0.0020000;0.0015820;0.0014000;;0.063870;0.012000;0.006515;0.002000;;;;
37668;1962;01;04;;-0.021999;0.030000;0.216301;0.030000;;0.0311435;0.0020000;0.0014960;0.0014000;;0.063893;0.012000;0.006574;0.002000;;;;
37669;1962;01;05;;-0.024799;0.030000;0.217301;0.030000;;0.0308154;0.0020000;0.0014160;0.0014000;;0.063880;0.012000;0.006374;0.002000;;;;
37670;1962;01;06;;-0.027599;0.030000;0.218301;0.030000;;0.0305353;0.0020000;0.0013820;0.0014000;;0.063826;0.012000;0.006045;0.002000;;;;
37671;1962;01;07;;-0.030199;0.030000;0.219301;0.030000;;0.0302682;0.0020000;0.0014130;0.0014000;;0.063921;0.012000;0.005872;0.002000;;;;
37672;1962;01;08;;-0.032798;0.030000;0.220202;0.030000;;0.0299280;0.0020000;0.0015050;0.0014000;;0.064251;0.012000;0.006018;0.002000;;;;
37673;1962;01;09;;-0.035198;0.030000;0.221102;0.030000;;0.0294869;0.0020000;0.0016280;0.0014000;;0.064647;0.012000;0.006351;0.002000;;;;
37674;1962;01;10;;-0.037498;0.030000;0.222002;0.030000;;0.0289268;0.0020000;0.0017380;0.0014000;;0.064867;0.012000;0.006594;0.002000;;;;
37675;1962;01;11;;-0.039697;0.030000;0.222803;0.030000;;0.0282797;0.0020000;0.0017940;0.0014000;;0.064837;0.012000;0.006619;0.002000;;;;
37676;1962;01;12;;-0.041797;0.030000;0.223703;0.030000;;0.0276136;0.0020000;0.0017740;0.0014000;;0.064662;0.012000;0.006498;0.002000;;;;
37677;1962;01;13;;-0.043797;0.030000;0.224503;0.030000;;0.0270075;0.0020000;0.0016670;0.0014000;;0.064474;0.012000;0.006342;0.002000;;;;
37678;1962;01;14;;-0.045697;0.030000;0.225203;0.030000;;0.0265403;0.0020000;0.0015100;0.0014000;;0.064323;0.012000;0.006182;0.002000;;;;
37679;1962;01;15;;-0.047496;0.030000;0.226004;0.030000;;0.0262572;0.0020000;0.0013120;0.0014000;;0.064183;0.012000;0.006028;0.002000;;;;
37680;1962;01;16;;-0.049196;0.030000;0.226704;0.030000;;0.0261751;0.0020000;0.0011120;0.0014000;;0.064061;0.012000;0.005926;0.002000;;;;
37681;1962;01;17;;-0.050796;0.030000;0.227404;0.030000;;0.0262740;0.0020000;0.0009360;0.0014000;;0.064034;0.012000;0.005913;0.002000;;;;
37682;1962;01;18;;-0.052295;0.030000;0.228005;0.030000;;0.0265299;0.0020000;0.0008110;0.0014000;;0.064157;0.012000;0.005951;0.002000;;;;
37683;1962;01;19;;-0.053595;0.030000;0.228705;0.030000;;0.0268868;0.0020000;0.0007330;0.0014000;;0.064352;0.012000;0.005962;0.002000;;;;
37684;1962;01;20;;-0.054895;0.030000;0.229305;0.030000;;0.0273077;0.0020000;0.0006810;0.0014000;;0.064504;0.012000;0.005913;0.002000;;;;
37685;1962;01;21;;-0.055995;0.030000;0.229905;0.030000;;0.0277506;0.0020000;0.0006780;0.0014000;;0.064597;0.012000;0.005849;0.002000;;;;
37686;1962;01;22;;-0.057094;0.030000;0.230506;0.030000;;0.0281834;0.0020000;0.0007210;0.0014000;;0.064698;0.012000;0.005820;0.002000;;;;
37687;1962;01;23;;-0.057994;0.030000;0.231006;0.030000;;0.0285533;0.0020000;0.0007900;0.0014000;;0.064803;0.012000;0.005811;0.002000;;;;
37688;1962;01;24;;-0.058794;0.030000;0.231606;0.030000;;0.0288522;0.0020000;0.0008620;0.0014000;;0.064838;0.012000;0.005773;0.002000;;;;
37689;1962;01;25;;-0.059594;0.030000;0.232106;0.030000;;0.0290721;0.0020000;0.0009440;0.0014000;;0.064783;0.012000;0.005696;0.002000;;;;
37690;1962;01;26;;-0.060193;0.030000;0.232607;0.030000;;0.0292210;0.0020000;0.0010040;0.0014000;;0.064720;0.012000;0.005619;0.002000;;;;
37691;1962;01;27;;-0.060693;0.030000;0.233207;0.030000;;0.0293239;0.0020000;0.0010370;0.0014000;;0.064671;0.012000;0.005565;0.002000;;;;
37692;1962;01;28;;-0.061093;0.030000;0.233707;0.030000;;0.0294068;0.0020000;0.0010520;0.0014000;;0.064522;0.012000;0.005515;0.002000;;;;
37693;1962;01;29;;-0.061392;0.030000;0.234208;0.030000;;0.0294776;0.0020000;0.0010520;0.0014000;;0.064232;0.012000;0.005474;0.002000;;;;
37694;1962;01;30;;-0.061692;0.030000;0.234708;0.030000;;0.0295585;0.0020000;0.0010440;0.0014000;;0.064005;0.012000;0.005517;0.002000;;;;
37695;1962;01;31;;-0.061792;0.030000;0.235208;0.030000;;0.0296424;0.0020000;0.0010370;0.0014000;;0.064046;0.012000;0.005706;0.002000;;;;
37696;1962;02;01;;-0.061792;0.030000;0.235708;0.030000;;0.0297323;0.0020000;0.0010170;0.0014000;;0.064182;0.012000;0.005928;0.002000;;;;
37697;1962;02;02;;-0.061691;0.030000;0.236209;0.030000;;0.0298362;0.0020000;0.0010410;0.0014000;;0.064037;0.012000;0.005934;0.002000;;;;
37698;1962;02;03;;-0.061491;0.030000;0.236709;0.030000;;0.0298791;0.0020000;0.0011250;0.0014000;;0.063620;0.012000;0.005624;0.002000;;;;
37699;1962;02;04;;-0.061191;0.030000;0.237309;0.030000;;0.0298030;0.0020000;0.0012890;0.0014000;;0.063424;0.012000;0.005239;0.002000;;;;
37700;1962;02;05;;-0.060791;0.030000;0.237809;0.030000;;0.0295339;0.0020000;0.0015060;0.0014000;;0.063811;0.012000;0.005122;0.002000;;;;
37701;1962;02;06;;-0.060390;0.030000;0.238410;0.030000;;0.0290467;0.0020000;0.0017140;0.0014000;;0.064550;0.012000;0.005319;0.002000;;;;
37702;1962;02;07;;-0.059790;0.030000;0.239010;0.030000;;0.0283596;0.0020000;0.0018790;0.0014000;;0.065103;0.012000;0.005575;0.002000;;;;
37703;1962;02;08;;-0.059190;0.030000;0.239610;0.030000;;0.0275575;0.0020000;0.0019590;0.0014000;;0.065162;0.012000;0.005687;0.002000;;;;
37704;1962;02;09;;-0.058389;0.030000;0.240211;0.030000;;0.0267354;0.0020000;0.0019300;0.0014000;;0.064832;0.012000;0.005676;0.002000;;;;
37705;1962;02;10;;-0.057589;0.030000;0.240811;0.030000;;0.0259753;0.0020000;0.0018180;0.0014000;;0.064437;0.012000;0.005617;0.002000;;;;
37706;1962;02;11;;-0.056689;0.030000;0.241511;0.030000;;0.0253542;0.0020000;0.0016500;0.0014000;;0.064248;0.012000;0.005486;0.002000;;;;
37707;1962;02;12;;-0.055689;0.030000;0.242211;0.030000;;0.0249181;0.0020000;0.0014740;0.0014000;;0.064297;0.012000;0.005255;0.002000;;;;
37708;1962;02;13;;-0.054588;0.030000;0.242912;0.030000;;0.0246570;0.0020000;0.0013030;0.0014000;;0.064400;0.012000;0.005013;0.002000;;;;
37709;1962;02;14;;-0.053488;0.030000;0.243612;0.030000;;0.0245359;0.0020000;0.0011660;0.0014000;;0.064414;0.012000;0.004875;0.002000;;;;
